"","state","year","median_age","total_pop","white","black","native","asian","pacific","other","multiracial","hispanic","college","masters","professional","doctorate","poverty","median_income","labor_force","unemployed","median_rent","median_home_value","18_29","30_44","45_64","65plus","under18","debt","auto","credit","mortgage","studentloan"
"1","AK",2011,33.9,722718,482698,23143,102293,37971,7785,8599,60229,41627,77153,29269,8000,6039,73905,67825,377710,33367,1049,238300,134980,142288,198860,58367,188223,48440,"3790","4060","34020","3390"
"2","AK",2012,33.8,731449,486551,26207,102582,42790,8231,6796,58292,43686,79559,36321,8545,5699,72400,67712,381360,29864,1120,245100,137270,147433,197362,62119,187265,54740,"4140","3980","39860","3680"
"3","AK",2013,33.1,735132,487762,25077,105310,41775,8794,9508,56906,48501,84038,32966,7246,5163,67016,72237,386509,33687,1117,254000,144815,143246,193121,65584,188366,54000,"4270","3820","39440","3630"
"4","AK",2014,33.3,736732,483584,24790,103273,43915,8395,9967,62808,49276,85634,33103,7223,4304,80627,71583,381695,29164,1183,254500,144971,146700,188393,69899,186769,54330,"4690","3830","39170","3640"
"5","AK",2015,33.3,738432,481314,26176,101133,47295,6762,12467,63285,51825,87869,36260,10814,4473,74532,73355,385165,30399,1163,259600,145365,147587,188081,71008,186391,56050,"4990","3920","40470","3610"
"6","AK",2016,33.5,741894,477895,23753,108056,45580,9937,12712,63961,51304,90861,36182,8730,5804,71566,76440,388062,30964,1208,267800,139688,149961,189117,75832,187296,57040,"5070","4110","40940","3660"
"7","AK",2017,34.5,739795,474856,22107,109948,49385,8830,11279,63390,51712,86444,37005,10673,4562,80012,73181,373249,28267,1201,273100,135760,152566,183247,83041,185181,57850,"5010","4270","41580","3740"
"8","AK",2018,34.9,737438,474555,25197,111371,46381,7958,9780,62196,53069,89635,38582,10849,7362,78620,74346,371179,25410,1177,276100,131241,152092,182645,88000,183460,58550,"4920","4350","41960","4030"
"9","AK",2019,35,731545,469771,22551,115544,43678,9923,12602,57476,52548,89583,38960,10924,6690,71938,75463,358661,20650,1201,281200,128095,150656,182457,90588,179749,59630,"4960","4440","42860","3970"
"10","AK",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60400,"5050","3900","44390","4030"
"11","AK",2021,35.6,732673,435004,22003,100397,47347,11171,19118,97633,52291,101422,39120,12444,6304,75165,77845,352556,24603,1259,304900,122257,160532,172073,98410,179401,63920,"5350","4070","47390","3990"
"12","AK",2022,35.9,733583,437533,22202,95268,46184,14724,13365,104307,56491,94168,39551,9379,6548,78608,88121,361685,16484,1329,336900,122696,164735,168933,101474,175745,67670,"5660","4430","50310","3910"
"13","AK",2023,36.5,733406,436860,21022,98745,43330,10646,19432,103371,54860,99091,43218,9328,7570,74353,86631,362965,17505,1373,347500,120475,166654,168913,102998,174366,68780,"5860","4980","50750","4250"
"14","AK",2024,36.3,740133,434520,18548,104023,44077,12648,15526,110791,57229,97736,44758,13467,7132,73398,95665,363709,21681,1444,376500,121095,168425,167000,109415,174198,68940,"5810","5170","50520","4180"
