"","NAME","variable","estimate","moe","year","state"
"1","Alabama","median_age",39.6,0.2,2024,"AL"
"2","Alabama","total_pop",5157699,NA,2024,"AL"
"3","Alabama","white",3301529,10356,2024,"AL"
"4","Alabama","black",1302107,9734,2024,"AL"
"5","Alabama","native",25582,4563,2024,"AL"
"6","Alabama","asian",79589,4065,2024,"AL"
"7","Alabama","pacific",5771,3218,2024,"AL"
"8","Alabama","other",128575,11429,2024,"AL"
"9","Alabama","multiracial",314546,13388,2024,"AL"
"10","Alabama","hispanic",306966,3236,2024,"AL"
"11","Alabama","college",637543,13975,2024,"AL"
"12","Alabama","masters",304002,10051,2024,"AL"
"13","Alabama","professional",64010,4558,2024,"AL"
"14","Alabama","doctorate",51280,4061,2024,"AL"
"15","Alabama","poverty",760634,23122,2024,"AL"
"16","Alabama","median_income",66659,780,2024,"AL"
"17","Alabama","labor_force",2447875,17498,2024,"AL"
"18","Alabama","unemployed",103581,7618,2024,"AL"
"19","Alabama","median_rent",1077,16,2024,"AL"
"20","Alabama","median_home_value",233300,2461,2024,"AL"
"21","Alaska","median_age",36.3,0.3,2024,"AK"
"22","Alaska","total_pop",740133,NA,2024,"AK"
"23","Alaska","white",434520,3307,2024,"AK"
"24","Alaska","black",18548,3228,2024,"AK"
"25","Alaska","native",104023,4432,2024,"AK"
"26","Alaska","asian",44077,2908,2024,"AK"
"27","Alaska","pacific",12648,1143,2024,"AK"
"28","Alaska","other",15526,2957,2024,"AK"
"29","Alaska","multiracial",110791,6445,2024,"AK"
"30","Alaska","hispanic",57229,NA,2024,"AK"
"31","Alaska","college",97736,4479,2024,"AK"
"32","Alaska","masters",44758,3439,2024,"AK"
"33","Alaska","professional",13467,2322,2024,"AK"
"34","Alaska","doctorate",7132,1546,2024,"AK"
"35","Alaska","poverty",73398,6760,2024,"AK"
"36","Alaska","median_income",95665,3278,2024,"AK"
"37","Alaska","labor_force",363709,5489,2024,"AK"
"38","Alaska","unemployed",21681,2361,2024,"AK"
"39","Alaska","median_rent",1444,48,2024,"AK"
"40","Alaska","median_home_value",376500,7020,2024,"AK"
"41","Arizona","median_age",39.4,0.1,2024,"AZ"
"42","Arizona","total_pop",7582384,NA,2024,"AZ"
"43","Arizona","white",4345673,23871,2024,"AZ"
"44","Arizona","black",360868,13306,2024,"AZ"
"45","Arizona","native",304625,9603,2024,"AZ"
"46","Arizona","asian",302736,8583,2024,"AZ"
"47","Arizona","pacific",13619,2949,2024,"AZ"
"48","Arizona","other",707919,28713,2024,"AZ"
"49","Arizona","multiracial",1546944,36000,2024,"AZ"
"50","Arizona","hispanic",2435661,NA,2024,"AZ"
"51","Arizona","college",1101882,18598,2024,"AZ"
"52","Arizona","masters",522445,14508,2024,"AZ"
"53","Arizona","professional",120062,6641,2024,"AZ"
"54","Arizona","doctorate",86023,5220,2024,"AZ"
"55","Arizona","poverty",866882,31738,2024,"AZ"
"56","Arizona","median_income",81486,684,2024,"AZ"
"57","Arizona","labor_force",3778884,20892,2024,"AZ"
"58","Arizona","unemployed",172459,8291,2024,"AZ"
"59","Arizona","median_rent",1672,19,2024,"AZ"
"60","Arizona","median_home_value",426000,2728,2024,"AZ"
"61","Arkansas","median_age",39.1,0.3,2024,"AR"
"62","Arkansas","total_pop",3088354,NA,2024,"AR"
"63","Arkansas","white",2105944,10689,2024,"AR"
"64","Arkansas","black",437805,7124,2024,"AR"
"65","Arkansas","native",16956,2806,2024,"AR"
"66","Arkansas","asian",55184,4070,2024,"AR"
"67","Arkansas","pacific",11756,1631,2024,"AR"
"68","Arkansas","other",96607,7960,2024,"AR"
"69","Arkansas","multiracial",364102,15116,2024,"AR"
"70","Arkansas","hispanic",294671,1214,2024,"AR"
"71","Arkansas","college",359274,10586,2024,"AR"
"72","Arkansas","masters",155632,6635,2024,"AR"
"73","Arkansas","professional",31331,3379,2024,"AR"
"74","Arkansas","doctorate",22866,2515,2024,"AR"
"75","Arkansas","poverty",466459,18623,2024,"AR"
"76","Arkansas","median_income",62106,831,2024,"AR"
"77","Arkansas","labor_force",1454780,13302,2024,"AR"
"78","Arkansas","unemployed",55540,4282,2024,"AR"
"79","Arkansas","median_rent",982,13,2024,"AR"
"80","Arkansas","median_home_value",215600,3253,2024,"AR"
"81","California","median_age",38.4,0.1,2024,"CA"
"82","California","total_pop",39431263,NA,2024,"CA"
"83","California","white",15013785,47086,2024,"CA"
"84","California","black",2110721,20296,2024,"CA"
"85","California","native",560852,26959,2024,"CA"
"86","California","asian",6349574,22280,2024,"CA"
"87","California","pacific",155816,7228,2024,"CA"
"88","California","other",7433192,77195,2024,"CA"
"89","California","multiracial",7807323,86112,2024,"CA"
"90","California","hispanic",16069214,NA,2024,"CA"
"91","California","college",6355683,45943,2024,"CA"
"92","California","masters",2806213,28804,2024,"CA"
"93","California","professional",719803,14932,2024,"CA"
"94","California","doctorate",554953,15039,2024,"CA"
"95","California","poverty",4567967,68831,2024,"CA"
"96","California","median_income",100149,381,2024,"CA"
"97","California","labor_force",20454381,49277,2024,"CA"
"98","California","unemployed",1213681,19996,2024,"CA"
"99","California","median_rent",2104,9,2024,"CA"
"100","California","median_home_value",759500,3644,2024,"CA"
"101","Colorado","median_age",38,0.1,2024,"CO"
"102","Colorado","total_pop",5957494,NA,2024,"CO"
"103","Colorado","white",4132111,18101,2024,"CO"
"104","Colorado","black",253267,9187,2024,"CO"
"105","Colorado","native",69907,5861,2024,"CO"
"106","Colorado","asian",207526,6467,2024,"CO"
"107","Colorado","pacific",9900,1725,2024,"CO"
"108","Colorado","other",376693,19396,2024,"CO"
"109","Colorado","multiracial",908090,22700,2024,"CO"
"110","Colorado","hispanic",1382948,NA,2024,"CO"
"111","Colorado","college",1220986,18463,2024,"CO"
"112","Colorado","masters",578824,12369,2024,"CO"
"113","Colorado","professional",111224,6197,2024,"CO"
"114","Colorado","doctorate",97524,5744,2024,"CO"
"115","Colorado","poverty",560040,25707,2024,"CO"
"116","Colorado","median_income",97113,1081,2024,"CO"
"117","Colorado","labor_force",3324268,14425,2024,"CO"
"118","Colorado","unemployed",142180,6525,2024,"CO"
"119","Colorado","median_rent",1822,15,2024,"CO"
"120","Colorado","median_home_value",574600,3773,2024,"CO"
"121","Connecticut","median_age",41.2,0.2,2024,"CT"
"122","Connecticut","total_pop",3675069,NA,2024,"CT"
"123","Connecticut","white",2340945,13156,2024,"CT"
"124","Connecticut","black",395358,10102,2024,"CT"
"125","Connecticut","native",15051,2949,2024,"CT"
"126","Connecticut","asian",176534,4959,2024,"CT"
"127","Connecticut","pacific",1185,735,2024,"CT"
"128","Connecticut","other",293928,16780,2024,"CT"
"129","Connecticut","multiracial",452068,20815,2024,"CT"
"130","Connecticut","hispanic",706806,NA,2024,"CT"
"131","Connecticut","college",606446,13546,2024,"CT"
"132","Connecticut","masters",364532,9106,2024,"CT"
